id,question_id,answer_type,answer
A01,Q01,baseline,"The greenhouse effect occurs when gases in Earth's atmosphere trap heat from the sun, warming the planet. Carbon dioxide and methane are the main greenhouse gases. Human activities like burning fossil fuels and deforestation have increased these gases, causing global temperatures to rise by about 2°C since the 1800s. This warming is the primary driver of climate change, causing melting ice caps, rising sea levels, and more extreme weather events."
A02,Q02,baseline,"Vaccines work by training your immune system to recognize and fight specific pathogens. They typically contain a weakened or killed version of a virus or bacteria, or pieces of it like proteins. When injected, your body mounts an immune response and creates antibodies. If you later encounter the real pathogen, your immune system remembers it and can fight it off quickly. Some vaccines require multiple doses to build full immunity."
A03,Q03,baseline,"Earthquakes are caused by the movement of tectonic plates beneath Earth's surface. When plates collide or slide against each other, stress builds up and is suddenly released as seismic waves. Earthquakes are measured using the Richter scale, which ranges from 1 to 10. Major earthquakes typically occur along fault lines, particularly around the Pacific Ring of Fire. The point underground where an earthquake originates is called the focus or hypocenter."
A04,Q04,baseline,"The immune system fights bacterial infections through a multi-step process. White blood cells called neutrophils are first responders that engulf and destroy bacteria. Then the adaptive immune system kicks in, with B-cells producing antibodies specific to the bacteria's surface proteins. T-cells help coordinate the response and can directly kill infected cells. Fever is also an immune response that helps by making conditions less favorable for bacterial growth. Memory cells are created so future infections by the same bacteria are handled faster."
A05,Q05,baseline,"Photosynthesis is the process plants use to convert sunlight into food. Plants absorb carbon dioxide from the air and water from the soil, and use sunlight to convert these into glucose and oxygen. The reaction takes place in chloroplasts, which contain chlorophyll—the green pigment that captures light. Photosynthesis is essential for life because it produces the oxygen we breathe and forms the base of the food chain. It also helps regulate atmospheric CO2 levels."
A06,Q06,baseline,"Black holes form when very massive stars die in a supernova explosion and the remaining core collapses under its own gravity. The event horizon is the boundary around a black hole beyond which nothing can escape, not even light. The gravitational pull inside a black hole becomes infinite at the singularity at its center. Time passes more slowly near a black hole due to its intense gravity. Some black holes are millions of times more massive than our sun and are found at the centers of most galaxies."
A07,Q07,baseline,"CRISPR-Cas9 is a revolutionary gene-editing technology that allows scientists to precisely modify DNA sequences. It works like molecular scissors—the Cas9 protein cuts DNA at a specific location guided by an RNA molecule. Scientists can use this to remove, add, or alter DNA segments. It was originally discovered as part of the bacterial immune system. CRISPR has potential applications in treating genetic diseases like cystic fibrosis and sickle cell disease, developing better crops, and potentially eliminating certain viruses."
A08,Q08,baseline,"The internet works by connecting millions of computers and devices through a global network using protocols that standardize communication. Data is broken into small packets that travel independently across the network and are reassembled at the destination. The TCP/IP protocol suite manages this process. Each device has a unique IP address, and DNS servers translate website names into these addresses. Data can travel through fiber optic cables, copper wires, or wirelessly through radio waves. The World Wide Web, invented by Tim Berners-Lee in 1989, uses HTTP to serve web pages over the internet."
A09,Q09,baseline,"The Northern Lights are caused by interactions between the solar wind—charged particles emitted by the Sun—and Earth's magnetic field. When these particles enter the atmosphere near the poles, they collide with gas molecules and cause them to emit light. Different gases produce different colors: oxygen produces green and red light, while nitrogen produces blue and purple hues. Auroras are most visible at high latitudes near the Arctic and Antarctic circles, and their intensity varies with the solar cycle, roughly every 11 years."
A10,Q10,baseline,"Antibiotic resistance occurs when bacteria evolve mechanisms to survive exposure to antibiotics that would normally kill them. This happens through random mutations and natural selection—bacteria that happen to have resistance survive and reproduce, passing on their resistant traits. Overuse of antibiotics, especially not completing courses of treatment, accelerates this process. Resistant bacteria can also share resistance genes with other bacteria. This is a growing global health crisis, as common infections may soon become untreatable. The WHO considers antibiotic resistance one of the biggest threats to global health."
