question_id,category,answer_type,correctness,faithfulness,completeness,hallucination_count,hallucination_rate,evaluator_notes
Q01,climate,baseline,3,2,3,2,0.4,"Claims +2°C warming since 1800s (actual is ~1.1°C). Omits specific gas percentages."
Q01,climate,rag,5,5,5,0,0.0,"Precise figures match passage: +1.1°C, CO2 +50%, CH4 +150%."
Q02,medicine,baseline,4,3,4,1,0.2,"Accurate overall. Does not mention mRNA vaccines. 'Multiple doses' claim unsupported."
Q02,medicine,rag,5,5,5,0,0.0,"Covers killed/weakened, subunit, and mRNA. Correctly uses term 'immunological memory'."
Q03,geology,baseline,3,2,3,2,0.4,"States Richter scale (outdated; modern standard is Mw). Misses 32x energy-per-magnitude fact."
Q03,geology,rag,5,5,5,0,0.0,"Correctly names Mw scale and explains 32x energy factor."
Q04,medicine,baseline,4,3,4,1,0.2,"Fever claim is reasonable but not in passage. Misses complement system and CD4+/CD8+ distinction."
Q04,medicine,rag,5,5,5,0,0.0,"Covers innate + adaptive phases, LPS, complement, CD4+, cytotoxic T-cells, plasma cells."
Q05,biology,baseline,4,4,4,0,0.0,"Accurate and well-structured. Does not include 120 billion tonne figure."
Q05,biology,rag,5,5,5,0,0.0,"Includes thylakoid/stroma detail and 120 billion tonne global fixation figure."
Q06,astronomy,baseline,3,3,4,1,0.2,"Conflates 'infinite gravity' with singularity loosely. Omits Schwarzschild radius and time-dilation detail."
Q06,astronomy,rag,5,5,5,0,0.0,"Correctly explains Schwarzschild radius, escape velocity, and gravitational time dilation."
Q07,biotechnology,baseline,4,3,4,1,0.2,"Claims CRISPR treats cystic fibrosis (not proven/approved). Misses HDR vs NHEJ distinction."
Q07,biotechnology,rag,5,5,5,0,0.0,"Correctly explains NHEJ vs HDR repair pathways. Lists verified applications only."
Q08,technology,baseline,4,4,4,0,0.0,"Accurate. Adds Tim Berners-Lee/1989 detail (correct but not from passage)."
Q08,technology,rag,5,5,5,0,0.0,"Includes BGP routing, 5 exabytes/day figure, and all protocol examples from passage."
Q09,astronomy,baseline,4,4,4,0,0.0,"Accurate. Mentions 11-year solar cycle (correct, not in passage)."
Q09,astronomy,rag,5,5,5,0,0.0,"Includes altitude range (100–300 km), specific wavelength (557.7 nm), and CME detail."
Q10,medicine,baseline,4,3,4,1,0.2,"Claims incomplete treatment is main driver (debated). Omits specific mechanisms (efflux pumps, etc.)."
Q10,medicine,rag,5,5,5,0,0.0,"Covers all four resistance mechanisms and all three horizontal transfer pathways."
