id,question,category
Q01,What is the greenhouse effect and how does it contribute to climate change?,climate
Q02,How do vaccines work to provide immunity against diseases?,medicine
Q03,What causes earthquakes and how are they measured?,geology
Q04,How does the human immune system respond to bacterial infections?,medicine
Q05,What is photosynthesis and why is it important for life on Earth?,biology
Q06,How do black holes form and what happens at the event horizon?,astronomy
Q07,What is CRISPR-Cas9 and how is it used in gene editing?,biotechnology
Q08,How does the internet work at a technical level?,technology
Q09,What causes the Northern Lights (Aurora Borealis)?,astronomy
Q10,How does antibiotic resistance develop in bacteria?,medicine
