question_id,category,answer_type,question,passage_available,answer,correctness,faithfulness,completeness,hallucination_count,hallucination_rate,notes
Q01,climate,baseline,What is the greenhouse effect and how does it contribute to climate change?,yes,"The greenhouse effect occurs when gases in Earth's atmosphere trap heat from the sun, warming the planet. Carbon dioxide and methane are the main greenhouse gases. Human activities like burning fossil fuels and deforestation have increased these gases, causing global temperatures to rise by about 2°C since the 1800s. This warming is the primary driver of climate change, causing melting ice caps, rising sea levels, and more extreme weather events.",3,2,3,2,0.4,Claims +2°C warming since 1800s (actual is ~1.1°C). Omits specific gas percentages.
Q01,climate,rag,What is the greenhouse effect and how does it contribute to climate change?,yes,"The greenhouse effect is a natural atmospheric process in which gases such as carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), and water vapor trap heat from the sun. Solar radiation warms Earth's surface, which then emits infrared radiation. Greenhouse gases absorb and re-radiate this energy, warming the lower atmosphere. Human activities since the Industrial Revolution have increased atmospheric CO2 by approximately 50% and methane by around 150%, intensifying the greenhouse effect and raising global average temperatures by approximately 1.1°C above pre-industrial levels.",5,5,5,0,0.0,"Precise figures match passage: +1.1°C, CO2 +50%, CH4 +150%."
Q02,medicine,baseline,How do vaccines work to provide immunity against diseases?,yes,"Vaccines work by training your immune system to recognize and fight specific pathogens. They typically contain a weakened or killed version of a virus or bacteria, or pieces of it like proteins. When injected, your body mounts an immune response and creates antibodies. If you later encounter the real pathogen, your immune system remembers it and can fight it off quickly. Some vaccines require multiple doses to build full immunity.",4,3,4,1,0.2,Accurate overall. Does not mention mRNA vaccines. 'Multiple doses' claim unsupported.
Q02,medicine,rag,How do vaccines work to provide immunity against diseases?,yes,"Vaccines provide immunity by introducing a harmless form of a pathogen—such as a killed or weakened version, a protein subunit, or mRNA genetic instructions—into the body. The immune system recognizes the introduced material as foreign and mounts a defense, producing antibodies and activating T-cells. Most importantly, the process generates memory B-cells and T-cells that retain recognition of the pathogen. Upon subsequent exposure to the real pathogen, this immunological memory enables the immune system to respond rapidly and powerfully, neutralizing the threat before serious disease develops.",5,5,5,0,0.0,"Covers killed/weakened, subunit, and mRNA. Correctly uses term 'immunological memory'."
Q03,geology,baseline,What causes earthquakes and how are they measured?,yes,"Earthquakes are caused by the movement of tectonic plates beneath Earth's surface. When plates collide or slide against each other, stress builds up and is suddenly released as seismic waves. Earthquakes are measured using the Richter scale, which ranges from 1 to 10. Major earthquakes typically occur along fault lines, particularly around the Pacific Ring of Fire. The point underground where an earthquake originates is called the focus or hypocenter.",3,2,3,2,0.4,States Richter scale (outdated; modern standard is Mw). Misses 32x energy-per-magnitude fact.
Q03,geology,rag,What causes earthquakes and how are they measured?,yes,"Earthquakes occur when stress accumulated along geological faults is suddenly released as seismic energy. Earth's lithosphere is composed of tectonic plates in constant motion; friction at plate boundaries causes stress to accumulate over years or centuries, and when the stress exceeds frictional resistance, plates slip suddenly and release seismic waves. Earthquakes are measured using the moment magnitude scale (Mw), which is calculated from the fault rupture area, average slip distance, and rock rigidity. Each one-unit increase in magnitude corresponds to approximately 32 times more energy released.",5,5,5,0,0.0,Correctly names Mw scale and explains 32x energy factor.
Q04,medicine,baseline,How does the human immune system respond to bacterial infections?,yes,"The immune system fights bacterial infections through a multi-step process. White blood cells called neutrophils are first responders that engulf and destroy bacteria. Then the adaptive immune system kicks in, with B-cells producing antibodies specific to the bacteria's surface proteins. T-cells help coordinate the response and can directly kill infected cells. Fever is also an immune response that helps by making conditions less favorable for bacterial growth. Memory cells are created so future infections by the same bacteria are handled faster.",4,3,4,1,0.2,Fever claim is reasonable but not in passage. Misses complement system and CD4+/CD8+ distinction.
Q04,medicine,rag,How does the human immune system respond to bacterial infections?,yes,"The immune response to bacterial infection proceeds in overlapping phases. Initially, the innate immune system responds within minutes: macrophages and neutrophils engulf bacteria through phagocytosis, while pattern recognition receptors detect bacterial components such as lipopolysaccharide and trigger inflammation. Complement proteins also attack bacterial membranes. Over the following days, the adaptive immune system activates: dendritic cells present bacterial antigens to T-cells, CD4+ helper T-cells orchestrate the broader response, cytotoxic T-cells eliminate infected host cells, and B-cells differentiate into plasma cells producing antibodies specific to bacterial surface proteins.",5,5,5,0,0.0,"Covers innate + adaptive phases, LPS, complement, CD4+, cytotoxic T-cells, plasma cells."
Q05,biology,baseline,What is photosynthesis and why is it important for life on Earth?,yes,"Photosynthesis is the process plants use to convert sunlight into food. Plants absorb carbon dioxide from the air and water from the soil, and use sunlight to convert these into glucose and oxygen. The reaction takes place in chloroplasts, which contain chlorophyll—the green pigment that captures light. Photosynthesis is essential for life because it produces the oxygen we breathe and forms the base of the food chain. It also helps regulate atmospheric CO2 levels.",4,4,4,0,0.0,Accurate and well-structured. Does not include 120 billion tonne figure.
Q05,biology,rag,What is photosynthesis and why is it important for life on Earth?,yes,"Photosynthesis is the process by which plants, algae, and cyanobacteria convert light energy into chemical energy stored as glucose. In the light-dependent reactions, chlorophyll in the thylakoid membranes absorbs sunlight, splits water molecules—releasing oxygen as a byproduct—and generates ATP and NADPH. These energy carriers then drive the Calvin cycle in the stroma, where CO2 is fixed into three-carbon sugars. Photosynthesis underpins virtually all food chains on Earth, produces the oxygen atmosphere that supports aerobic life, and globally fixes approximately 120 billion tonnes of carbon per year.",5,5,5,0,0.0,Includes thylakoid/stroma detail and 120 billion tonne global fixation figure.
