id,question_id,answer_type,answer
B01,Q01,rag,"The greenhouse effect is a natural atmospheric process in which gases such as carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), and water vapor trap heat from the sun. Solar radiation warms Earth's surface, which then emits infrared radiation. Greenhouse gases absorb and re-radiate this energy, warming the lower atmosphere. Human activities since the Industrial Revolution have increased atmospheric CO2 by approximately 50% and methane by around 150%, intensifying the greenhouse effect and raising global average temperatures by approximately 1.1°C above pre-industrial levels."
B02,Q02,rag,"Vaccines provide immunity by introducing a harmless form of a pathogen—such as a killed or weakened version, a protein subunit, or mRNA genetic instructions—into the body. The immune system recognizes the introduced material as foreign and mounts a defense, producing antibodies and activating T-cells. Most importantly, the process generates memory B-cells and T-cells that retain recognition of the pathogen. Upon subsequent exposure to the real pathogen, this immunological memory enables the immune system to respond rapidly and powerfully, neutralizing the threat before serious disease develops."
B03,Q03,rag,"Earthquakes occur when stress accumulated along geological faults is suddenly released as seismic energy. Earth's lithosphere is composed of tectonic plates in constant motion; friction at plate boundaries causes stress to accumulate over years or centuries, and when the stress exceeds frictional resistance, plates slip suddenly and release seismic waves. Earthquakes are measured using the moment magnitude scale (Mw), which is calculated from the fault rupture area, average slip distance, and rock rigidity. Each one-unit increase in magnitude corresponds to approximately 32 times more energy released."
B04,Q04,rag,"The immune response to bacterial infection proceeds in overlapping phases. Initially, the innate immune system responds within minutes: macrophages and neutrophils engulf bacteria through phagocytosis, while pattern recognition receptors detect bacterial components such as lipopolysaccharide and trigger inflammation. Complement proteins also attack bacterial membranes. Over the following days, the adaptive immune system activates: dendritic cells present bacterial antigens to T-cells, CD4+ helper T-cells orchestrate the broader response, cytotoxic T-cells eliminate infected host cells, and B-cells differentiate into plasma cells producing antibodies specific to bacterial surface proteins."
B05,Q05,rag,"Photosynthesis is the process by which plants, algae, and cyanobacteria convert light energy into chemical energy stored as glucose. In the light-dependent reactions, chlorophyll in the thylakoid membranes absorbs sunlight, splits water molecules—releasing oxygen as a byproduct—and generates ATP and NADPH. These energy carriers then drive the Calvin cycle in the stroma, where CO2 is fixed into three-carbon sugars. Photosynthesis underpins virtually all food chains on Earth, produces the oxygen atmosphere that supports aerobic life, and globally fixes approximately 120 billion tonnes of carbon per year."
B06,Q06,rag,"Black holes form when massive stars—typically those exceeding 20 solar masses—exhaust their nuclear fuel and undergo gravitational collapse. The stellar core collapses to a singularity while outer layers explode as a supernova. Supermassive black holes, containing millions to billions of solar masses, likely formed through mergers and accretion in the early universe. The event horizon is not a physical surface but a conceptual boundary defined by the Schwarzschild radius—the distance at which escape velocity equals the speed of light. Nothing, including light, can escape once past this boundary. To a distant observer, infalling objects appear to slow and redshift due to extreme gravitational time dilation."
B07,Q07,rag,"CRISPR-Cas9 is a genome-editing tool adapted from a natural bacterial immune defense system. Bacteria use CRISPR sequences—short repeating DNA segments with stored viral fragments—and Cas9, an endonuclease, to recognize and cut invading viral DNA. Researchers harness this by designing a custom guide RNA (gRNA) complementary to any genomic target. Delivered into cells, the Cas9-gRNA complex binds and cleaves the target DNA. Cells repair the break via non-homologous end joining (introducing mutations) or, with a provided repair template, via homology-directed repair (inserting or correcting sequences). Applications span treatment of genetic diseases, development of disease-resistant crops, and cancer immunotherapy."
B08,Q08,rag,"The internet is a global network in which computers communicate using standardized protocols. Data travels physically as electrical signals, fiber-optic light pulses, or radio waves. The TCP/IP protocol suite governs how data is packaged into packets, addressed, routed across networks, and reassembled at destinations. Each device is assigned an IP address; the Domain Name System (DNS) translates human-readable domains into these addresses. Routers forward packets using routing tables and protocols such as BGP. The application layer includes HTTP/HTTPS for web browsing, SMTP for email, and FTP for file transfer. The modern internet processes roughly 5 exabytes of data per day."
B09,Q09,rag,"The Aurora Borealis results from interactions between charged particles in the solar wind and Earth's upper atmosphere. Most solar wind is deflected by Earth's magnetosphere, but at polar regions, magnetic field lines guide energetic electrons and protons into the atmosphere at altitudes of 100–300 km. These particles collide with atmospheric oxygen and nitrogen, exciting electrons to higher energy states. As electrons return to their ground state, they emit photons at specific wavelengths: oxygen produces the characteristic green aurora at 557.7 nm and red aurora at higher altitudes, while nitrogen produces blue and purple hues. Auroral activity intensifies during solar storms and coronal mass ejections."
B10,Q10,rag,"Antibiotic resistance develops through natural selection on bacterial populations. Antibiotics kill susceptible bacteria while rare resistant mutants survive and reproduce, propagating their resistance. Specific mechanisms include enzymatic inactivation (e.g., beta-lactamases that destroy penicillin), modification of the antibiotic's molecular target so the drug cannot bind effectively, efflux pumps that expel antibiotics from bacterial cells, and reduced cell-wall permeability limiting drug entry. Resistance spreads not only vertically through reproduction but also horizontally through gene transfer: bacteria share resistance plasmids across species via conjugation, transformation, or transduction. Overuse and misuse of antibiotics in medicine and agriculture accelerates selection for resistant strains."
