id,question_id,passage
P01,Q01,"The greenhouse effect is a natural process where certain gases in Earth's atmosphere—primarily carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), and water vapor—trap heat from the sun. Solar radiation passes through the atmosphere and warms Earth's surface. When the surface emits infrared radiation back toward space, greenhouse gases absorb and re-radiate this energy, warming the lower atmosphere. Human activities since the Industrial Revolution have dramatically increased concentrations of CO2 (by ~50%) and methane (by ~150%), intensifying the greenhouse effect and raising global average temperatures by approximately 1.1°C above pre-industrial levels."
P02,Q02,"Vaccines work by introducing a harmless form of a pathogen—either a killed or weakened version, a protein subunit, or genetic instructions (mRNA)—into the body. The immune system recognizes this as foreign and mounts a defense, producing antibodies and activating T-cells. Crucially, the immune system creates memory B-cells and T-cells that 'remember' the pathogen. If the vaccinated person later encounters the real pathogen, the immune system responds rapidly and powerfully, neutralizing the threat before it causes serious disease. This is called immunological memory."
P03,Q03,"Earthquakes occur when stress accumulated along geological faults is suddenly released as seismic energy. Earth's lithosphere is divided into tectonic plates that constantly move. At plate boundaries, friction prevents smooth sliding, causing stress to build over years or centuries. When the stress exceeds the frictional force, plates slip suddenly, radiating seismic waves in all directions. Earthquakes are measured using the moment magnitude scale (Mw), which quantifies the total energy released based on the area of fault rupture, average slip distance, and rock rigidity. A magnitude-7.0 earthquake releases ~32 times more energy than a magnitude-6.0."
P04,Q04,"When bacteria invade the body, the immune response unfolds in overlapping phases. First, the innate immune system activates within minutes: macrophages and neutrophils engulf bacteria via phagocytosis, while pattern recognition receptors detect bacterial components (like lipopolysaccharide) and trigger inflammation. Complement proteins punch holes in bacterial membranes. Within days, the adaptive immune system activates: dendritic cells present bacterial antigens to T-cells, helper T-cells (CD4+) orchestrate the response, cytotoxic T-cells kill infected host cells, and B-cells differentiate into plasma cells that secrete antibodies targeting specific bacterial surface proteins."
P05,Q05,"Photosynthesis is the biological process by which plants, algae, and cyanobacteria convert light energy into chemical energy stored as glucose. In the light-dependent reactions occurring in the thylakoid membranes, chlorophyll absorbs sunlight, splitting water molecules and releasing oxygen as a byproduct while generating ATP and NADPH. In the Calvin cycle (light-independent reactions) in the stroma, CO2 is fixed into three-carbon sugars using the ATP and NADPH generated. Photosynthesis is the foundation of virtually all food chains on Earth and is responsible for the oxygen atmosphere that supports aerobic life. Globally, photosynthesis fixes approximately 120 billion tonnes of carbon per year."
P06,Q06,"Black holes form when massive stars (typically >20 solar masses) exhaust their nuclear fuel and undergo gravitational collapse. The core collapses to a singularity—a point of infinite density—while the outer layers explode as a supernova. Supermassive black holes (millions to billions of solar masses) likely formed through mergers and accretion in the early universe. The event horizon is not a physical surface but a boundary defined by the Schwarzschild radius: the distance from the singularity at which escape velocity equals the speed of light. Nothing—including light—can escape once past the event horizon. To a distant observer, objects falling toward a black hole appear to slow and redden due to extreme gravitational time dilation."
P07,Q07,"CRISPR-Cas9 is a genome-editing tool adapted from a natural bacterial immune system. In bacteria, CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) sequences store fragments of past viral DNA, and Cas9 is an endonuclease enzyme that uses a guide RNA to find matching sequences and cut them. Scientists harness this by designing a custom guide RNA (gRNA) complementary to any target DNA sequence. When delivered into cells, the Cas9-gRNA complex binds and cuts the target site. Cells repair the cut via non-homologous end joining (introducing mutations) or, if a repair template is provided, homology-directed repair (inserting or correcting sequences). Applications include treating genetic diseases, developing disease-resistant crops, and cancer immunotherapy."
P08,Q08,"The internet is a global network of interconnected computers that communicate using standardized protocols. At the physical layer, data travels as electrical signals, light pulses (fiber optic), or radio waves. The TCP/IP protocol suite governs how data is broken into packets, addressed, routed, and reassembled. Each device has an IP address; the Domain Name System (DNS) translates human-readable domains into IP addresses. Routers forward packets across networks toward their destination using routing tables and protocols like BGP (Border Gateway Protocol). The application layer includes protocols like HTTP/HTTPS for web browsing, SMTP for email, and FTP for file transfer. The modern internet handles roughly 5 exabytes of data per day."
P09,Q09,"The Aurora Borealis (Northern Lights) is caused by interactions between charged particles from the Sun and Earth's upper atmosphere. The Sun continuously emits a stream of charged particles called the solar wind. Earth's magnetosphere deflects most of this flux, but at the polar regions, magnetic field lines funnel particles into the upper atmosphere (at altitudes of 100–300 km). These energetic electrons and protons collide with atmospheric gases—oxygen and nitrogen—exciting their electrons to higher energy states. When the electrons return to their ground state, they release photons of specific wavelengths: oxygen produces green (557.7 nm) and red aurora; nitrogen produces blue and purple hues. Auroral activity intensifies during solar storms and coronal mass ejections."
P10,Q10,"Antibiotic resistance develops through natural selection operating on bacterial populations. When antibiotics are used, sensitive bacteria are killed while rare resistant mutants survive and reproduce. Resistance mechanisms include: enzymatic inactivation of antibiotics (e.g., beta-lactamases that destroy penicillin), modification of the antibiotic's target site so the drug no longer binds effectively, efflux pumps that actively expel antibiotics from bacterial cells, and reduced cell wall permeability limiting drug entry. Critically, resistance genes spread not only through vertical inheritance but also through horizontal gene transfer—bacteria can share resistance plasmids across species via conjugation, transformation, or transduction. Overuse and misuse of antibiotics in medicine and agriculture accelerates the selection of resistant strains."
